S/N,NAME,GENDER,PARTY,VOTES,ELECTED,STATE,ZONE
21,IBRAHIM ADBULLAHI ANIFOWOSHE,MALE,MRDD,86,,KWARA,KWARA
22,AYINLA JOHN OLORUNTOBA,MALE,NCP,74,,KWARA,KWARA
23,TOSHO BABATUNDE OMOTOSHO A.,MALE,NEPP,108,,KWARA,KWARA
24,ABDULAZEEZ YINKA ONIYANGI,MALE,NPM,148,,KWARA,KWARA
25,POPOOLA KEHINDE ADEYEMI,MALE,NRM,74,,KWARA,KWARA
26,ARANSIOLA EZEKIEL,MALE,PDC,432,,KWARA,KWARA
27,RAZAK ATUNWA,MALE,PDP,"114,754",,KWARA,KWARA
28,TIAMIYU KOLAPO KAMORU- DEEN,MALE,PPA,"1,482",,KWARA,KWARA
29,PAUL AJIROBA,MALE,PPN,67,,KWARA,KWARA
30,OLAJIDE JOSEPH ADEBOLA,MALE,SDP,209,,KWARA,KWARA
31,OYABAMBI ADETUNJI,MALE,UDP,40,,KWARA,KWARA
32,SOLADOYE SAMUEL SUNDAY,MALE,UPN,61,,KWARA,KWARA
33,COMFORT YINKA KAYODE,MALE,UPP,24,,KWARA,KWARA
34,OSHIN  BAYO DAVID ALABA,MALE,WTPN,15,,KWARA,KWARA
35,BADA ABULLAHI YEKINI,MALE,YDP,14,,KWARA,KWARA
1,JOSEPH OLA BECKLEY,MALE,A,"4,122",,LAGOS,LAGOS
2,OLUWASEUN OLADIMEJI AJIRELOJA,MALE,AAC,"1,078",,LAGOS,LAGOS
3,SESI MICHEAL IDOWU,MALE,ABP,511,,LAGOS,LAGOS
4,TEMITAYO ONILEWO OLATUNJI,MALE,ACD,917,,LAGOS,LAGOS
5,SALIS OWOLABI,MALE,AD,"3,370",,LAGOS,LAGOS
6,OLUMUYIWA FAFOWORA,MALE,ADC,"3,544",,LAGOS,LAGOS
7,BABATUNDE OLALERE GBADAMOSI,MALE,ADP,"4,780",,LAGOS,LAGOS
8,BALOGUN OPEYEMI,MALE,AGA,207,,LAGOS,LAGOS
9,ADEWALE SAMSON,MALE,AGAP,83,,LAGOS,LAGOS
10,MUSA MUJAIRU OLUWASEGUN,MALE,ANDP,140,,LAGOS,LAGOS
11,ADEBAYO FRANCIS ADEWALE,MALE,ANN,389,,LAGOS,LAGOS
12,LAWRENCE ADENIYI OLADIPUPO JOHNSON,MALE,ANP,359,,LAGOS,LAGOS
13,ABDRAHEEM ASISAT OMOWUNMI,MALE,APA,"1,906",,LAGOS,LAGOS
14,BABAJIDE OLUSOLA SANWOLU,MALE,APC,"739,445",ELECTED,LAGOS,LAGOS
15,OWASANOYE FELIX AYOKUNLE,MALE,APDA,642,,LAGOS,LAGOS
16,PATIENCE BOLADE OMEEBERE,FEMALE,APM,194,,LAGOS,LAGOS
17,LEE BARBARA BABATUNDE,MALE,ASD,187,,LAGOS,LAGOS
18,ADEYEMI DAUDA,MALE,CAP,237,,LAGOS,LAGOS
19,AFANGIDEH UDUAK ARCHIBONG,MALE,DA,111,,LAGOS,LAGOS
20,ADEYEMI ABIOLA,FEMALE,DPC,211,,LAGOS,LAGOS
21,WILLIE IKA WILLIE,MALE,DPP,555,,LAGOS,LAGOS
22,JOSEPH ADEGBOYEGA OGEBULE,MALE,FJP,113,,LAGOS,LAGOS
23,ORJI KEHINDE SOLOMON,MALE,GPN,49,,LAGOS,LAGOS
24,ABIOLA TAIWO ADEKUNLE,MALE,ID,61,,LAGOS,LAGOS
25,OLORUNGBOHUNMI IFEDAYO MOSES,MALE,JMPP,42,,LAGOS,LAGOS
26,IFAGBEMI AWAMARDI,MALE,LP,392,,LAGOS,LAGOS
27,ISHOLA ATOYEBI AREGBESOLA,MALE,MAJA,36,,LAGOS,LAGOS
28,OKUNTILU MOSES OLUGBENGA,MALE,MMN,52,,LAGOS,LAGOS
29,AIYEOLA BABATUNDE OLUMUYIWA,MALE,MPN,769,,LAGOS,LAGOS
30,ODUDIRAN SAMUEL ADESOLA,MALE,NCMP,60,,LAGOS,LAGOS
31,OLUFUNSO AWE,MALE,NCP,712,,LAGOS,LAGOS
32,BELLO AKINTOLA PAUL,MALE,NPC,"1,886",,LAGOS,LAGOS
33,JIMI AGBAJE,MALE,PDP,"206,141",,LAGOS,LAGOS
34,ADEGBE PAULINE OJO - CHIDE,FEMALE,PPA,548,,LAGOS,LAGOS
35,OMOLARA A ADESANYA,FEMALE,PPC,617,,LAGOS,LAGOS
36,VICTOR ADEGBOYEGA ADENJI,MALE,PPN,234,,LAGOS,LAGOS
37,SARUMI ALADAPO B.,MALE,PRP,153,,LAGOS,LAGOS
38,OGUNBAMBI ABIODUN OLUWATOYIN,FEMALE,PT,120,,LAGOS,LAGOS
39,OLATEJU YAKUB ALABI OLANREWAJU,MALE,RBNP,73,,LAGOS,LAGOS
1,OMBUGADU VICTOR,MALE,ACD,97,,NASARAWA,NASARAWA
2,ZAGGI RABO ZAKKA,MALE,ADC,"1,319",,NASARAWA,NASARAWA
3,SULEIMAN UMARU AJAJA,MALE,ADP,"1,355",,NASARAWA,NASARAWA
4,ABIMIKU ANTHONY KUKUMAH,MALE,AGA,526,,NASARAWA,NASARAWA
,,,,,Declared,NASARAWA,NASARAWA
5,AUDU ALHAJI SULE,MALE,APC,"327,229",,NASARAWA,NASARAWA
,,,,,Elected,NASARAWA,NASARAWA
6,LABARAN MAKU,MALE,APGA,"132,784",,NASARAWA,NASARAWA
7,MUSTAPHA MOHAMMED ALFA,MALE,APM,773,,NASARAWA,NASARAWA
8,ABA JOSEPH R.,MALE,ASD,28,,NASARAWA,NASARAWA
9,THEOHILUS GYADO MADAKI,MALE,CAP,16,,NASARAWA,NASARAWA
10,KHALID SHUAIBU MAIRIGA,MALE,DA,7,,NASARAWA,NASARAWA
11,ISMAILA TAOFIQ,MALE,DPC,38,,NASARAWA,NASARAWA
12,MUHAMMAD NAZIR ADAMU,MALE,GPN,12,,NASARAWA,NASARAWA
13,HARUNA ILIYASU SHAUAIBU,MALE,ID,79,,NASARAWA,NASARAWA
14,ANJUGU ABIMKU MOSES,MALE,JMPP,82,,NASARAWA,NASARAWA
15,MOHAMMED AWWAL SULEIMAN,MALE,KP,49,,NASARAWA,NASARAWA
16,CERRONE DOKO WAZIRI,MALE,MAJA,12,,NASARAWA,NASARAWA
17,PETER HELEN,FEMALE,MMN,38,,NASARAWA,NASARAWA
18,BAKO AHMED,MALE,NCMP,33,,NASARAWA,NASARAWA
19,ALIYU DANJUMA DOGARA,MALE,NFD,258,,NASARAWA,NASARAWA
20,DAVID EMMANUEL OMBUGADU,MALE,PDP,"184,281",,NASARAWA,NASARAWA
21,TANKO MALAM,MALE,PPA,679,,NASARAWA,NASARAWA
22,SALE YAHAYA ALAJI,MALE,PPC,85,,NASARAWA,NASARAWA
23,MOHAMMED AHMADU ADAMU,MALE,PPN,186,,NASARAWA,NASARAWA
24,MUHAMMAD KABIR ABUBAKAR,MALE,PRP,12,,NASARAWA,NASARAWA
25,NYAM MARK MAIDA,MALE,PT,46,,NASARAWA,NASARAWA
26,MATHEW AVRE OMBUGAKU,MALE,RBNP,72,,NASARAWA,NASARAWA
27,ISHAQ AHMED KANA,MALE,SDP,"7,442",,NASARAWA,NASARAWA
28,KRENI DANJU MANTANI,MALE,YPP,33,,NASARAWA,NASARAWA
29,DOMA UMARU ALIYU,MALE,ZLP,"13,308",,NASARAWA,NASARAWA
1,BAWA BWARI BELLO,MALE,ACD,"14,230",,NIGER,NIGER
2,MUSA IBRAHIM,MALE,ACPN,137,,NIGER,NIGER
3,MANI IBRAIM AHMAD,MALE,ADC,"1,434",,NIGER,NIGER
4,MOHAMMED KAWU ISAH BABANNA,MALE,ADP,"36,015",,NIGER,NIGER
5,SHARUF ADAM YAKUB,MALE,AGA,"2,422",,NIGER,NIGER
6,TSOHO LAWAL,MALE,APA,902,,NIGER,NIGER
,,,,,Declared,NIGER,NIGER
7,SANI ABUBAKAR BELLO,MALE,APC,"526,412",,NIGER,NIGER
,,,,,Elected,NIGER,NIGER
8,JOSHUA NUHU BAWA,MALE,APGA,"4,680",,NIGER,NIGER
9,YAHAYA SHUAIBU,MALE,APP,153,,NIGER,NIGER
10,ABDURRAHAMAN MUSTAPHA,MALE,BNPP,188,,NIGER,NIGER
11,AISHATU MAHMUD,FEMALE,CAP,57,,NIGER,NIGER
12,BAWA SALEH,MALE,DA,84,,NIGER,NIGER
13,MUSA ABUBAKAR MOHAMMED,MALE,FJP,76,,NIGER,NIGER
14,ISAH MOHAMMED BELLO,MALE,GPN,53,,NIGER,NIGER
15,HUSSAINI MANUGA,MALE,JMPP,56,,NIGER,NIGER
16,USMAN MUHAMMED,MALE,KP,188,,NIGER,NIGER
17,ABDULSALAM AISHA,FEMALE,LP,988,,NIGER,NIGER
18,MUSTAPH ALIYU WUSHISHI,MALE,LPN,"5,457",,NIGER,NIGER
19,SHITTU SAEED AHMED,MALE,MPN,181,,NIGER,NIGER
20,MUSA ABDULAHI BABAKATUN,MALE,NCMP,308,,NIGER,NIGER
21,ABDULAZEEZ SALAUDEEN OYENIYI,MALE,NCP,155,,NIGER,NIGER
22,ABDULLAHI DANTANI,MALE,NNPP,256,,NIGER,NIGER
23,HASSAN MOHAMMED SHAABA,MALE,NRM,"2,526",,NIGER,NIGER
24,UMAR MOHAMMED NASKO,MALE,PDP,"298,065",,NIGER,NIGER
25,UMARU NASIRU ALBANI,MALE,PPC,553,,NIGER,NIGER
26,IBRAHIM MUSA,MALE,PPN,"2,333",,NIGER,NIGER
27,YAHAYA DANBABA DAUDA,MALE,PRP,"1,000",,NIGER,NIGER
28,MAHMOOD DANJUMA YUSUF SANNI,MALE,SDP,"1,699",,NIGER,NIGER
29,YUSUF AYUBA ANEKAN,MALE,UDP,101,,NIGER,NIGER
30,COMRADE MOHAMMED AUDU,MALE,WTPN,39,,NIGER,NIGER
31,UMAR AWWAL,MALE,ZLP,123,,NIGER,NIGER
1,TOPE TOKOYA,MALE,A,"1,695",,OGUN,OGUN
2,OTASANYA FOLAKE ENIOLA,FEMALE,AAC,"1,469",,OGUN,OGUN
3,ADEGBOLA JOHN OLUMUYIWA,MALE,AAP,746,,OGUN,OGUN
4,ABIADE STEPHEN,MALE,ACD,"2,629",,OGUN,OGUN
5,OLUFADE G. OLUSEYI,MALE,AD,"1,378",,OGUN,OGUN
6,ISIAKA NASIR ADEGBOYEGA,MALE,ADC,"110,422",,OGUN,OGUN
7,OLADIMEJI BANKOLE,MALE,ADP,"9,666",,OGUN,OGUN
8,OLAYEMI OLAWALE OLUBUNMI,MALE,AGA,813,,OGUN,OGUN
9,OGUNBAJO ADEMOLA OLALEKAN,MALE,ANN,710,,OGUN,OGUN
10,ADEWOLE OMONIYI,MALE,ANRP,958,,OGUN,OGUN
,,,,,Declared,OGUN,OGUN
11,ADEDAPO ABIODUN,MALE,APC,"241,670",,OGUN,OGUN
,,,,,Elected,OGUN,OGUN
12,AKINLADE ADEKUNLE ABDULKABIR,MALE,APM,"222,153",,OGUN,OGUN
13,OLOMU OLUFEMI AKINWUMI,MALE,ASD,235,,OGUN,OGUN
14,OLUSEGUN MATTHEW OLUFEMI,MALE,BNPP,345,,OGUN,OGUN
15,SEGUN TAIWO O,MALE,CAP,150,,OGUN,OGUN
16,BELLO AKEEM ALABI,MALE,CC,81,,OGUN,OGUN
17,SANYAOLU ABAYOMI OMOLAJA,MALE,DA,753,,OGUN,OGUN
18,ODEJIDE JIMOH ADIO,MALE,DPC,464,,OGUN,OGUN
19,KUNLE SAMSON ELEGBEDE,MALE,DPP,732,,OGUN,OGUN
20,OKUMOYE EMMANUEL TANDO,MALE,FJP,400,,OGUN,OGUN
21,ONIFADE OLUFEMI JOHN,MALE,FRESH,161,,OGUN,OGUN
22,OTUNBA ABAYOMI ODUNOWO,MALE,GPN,242,,OGUN,OGUN
23,ADEBAYO MOSURU,MALE,ID,159,,OGUN,OGUN
24,OYEFESO BLESSING FLEXBANIEL ISMAIL,MALE,JMPP,191,,OGUN,OGUN
25,ODUNTAN DAVID ADEGBITE,MALE,KP,552,,OGUN,OGUN
26,NURUDEEN O. ADEKUNLE,MALE,MPN,628,,OGUN,OGUN
27,ADEFIOYE KOLAWOLE HAMMED,MALE,NCP,430,,OGUN,OGUN
28,BURUJI KASHAMU,MALE,PDP,"70,290",,OGUN,OGUN
29,OGUNBIYI KEHINDE BOLANLE,MALE,PPA,"1,133",,OGUN,OGUN
30,ADETOLA RASAQ OLUSEGUN,MALE,PPC,616,,OGUN,OGUN
31,AKINBORO OLASUNKANMI OLUWOLE,MALE,PPN,"1,149",,OGUN,OGUN
32,ALANI ADESINA ABRAHAM,MALE,PPP,671,,OGUN,OGUN
33,LANRE BANJO,MALE,PT,368,,OGUN,OGUN
34,ABIODUN TAIWO ONABANJO,MALE,RBNP,602,,OGUN,OGUN
,OLATUNDE ROTIMI VICTOR ANTHONY,,,,,OGUN,OGUN
35,,MALE,SDP,"1,483",,OGUN,OGUN
,PESEDA,,,,,OGUN,OGUN
36,ADUNNI JACKIE KASSIM,MALE,UDP,384,,OGUN,OGUN
37,MICHAEL OLUFEMI ADEEKO,MALE,UPN,861,,OGUN,OGUN
38,OLUFEMI FALANA,MALE,UPP,515,,OGUN,OGUN
1,SAHEED ADEGBOYEGA AJADI,MALE,A,"1,514",,OYO,OYO
2,AKINWALE BABATUNDE LAOSUN,MALE,AAC,814,,OYO,OYO
3,VICTOR - TADE ADENIKE MORENIKE,MALE,AAP,574,,OYO,OYO
4,OKEMAKINDE RAMOTA FUMILAYO,FEMALE,ABP,182,,OYO,OYO
5,AKANDE TAIWO RISIKAT,FEMALE,ACD,780,,OYO,OYO
6,ALAO OYEDELEH OYEBODE,MALE,AD,"1,425",,OYO,OYO
7,OLUFEMI AKINOLA LANLEHIN,MALE,ADC,"12,375",,OYO,OYO
,OTUNBA CHRISTOPHER ADEBAYO ALAO,,,,,OYO,OYO
8,,MALE,ADP,"8,664",,OYO,OYO
,AKALA,,,,,OYO,OYO
9,DAVID OLUWAFEMI OKUNLOLA,MALE,AGA,564,,OYO,OYO
10,OLABODE AYODELE JOHNSON,MALE,ANN,169,,OYO,OYO
11,OLALEKAN OLADOTUN AYORINDE,MALE,ANRP,663,,OYO,OYO
12,TOLULOPE ADEYEYE ADEDOYIN,MALE,APA,"1,007",,OYO,OYO
13,ADELABU ADEBAYO ADEKOLA,MALE,APC,"357,982",,OYO,OYO
14,OLADDUNNI ARIYO OLAITAN,MALE,BNPP,205,,OYO,OYO
15,OMOTOSHO PAUL ADEBOYE,MALE,C4C,96,,OYO,OYO
16,MAYORESS ABIODUN OLAYINKA O,MALE,CAP,46,,OYO,OYO
17,ALHAJI ADEGBOYEGA A. ADEEU,MALE,DA,192,,OYO,OYO
18,BABARINDE OYE ADEMOLA,MALE,DPC,230,,OYO,OYO
19,OMOBOSOLA OWOLABI GOLOHOR,FEMALE,DPP,"1,401",,OYO,OYO
20,OLUWOLE LADIPO,MALE,GDPN,152,,OYO,OYO
21,AKINBOYE TIJANI ISMAILA,MALE,HDP,926,,OYO,OYO
22,OLADAPO WASIU ATILOLA,MALE,ID,153,,OYO,OYO
23,PAUL OLUSEYE SMITH,MALE,JMPP,72,,OYO,OYO
24,OLAIDE OLAYINOLA,MALE,KP,46,,OYO,OYO
25,OLATUNJI ADIGUN SADIQ,MALE,LP,336,,OYO,OYO
26,ADEROJU ISMAIL BALOGUN,MALE,MAJA,75,,OYO,OYO
27,OJO OLAYINKA KAYODE,MALE,MPN,602,,OYO,OYO
28,MOGAJI MASHOOD ODELALU,MALE,NAC,98,,OYO,OYO
29,OLOYADE AYOBAMI MICHAEL,MALE,NCP,135,,OYO,OYO
30,AYOADE BELAWU ADEBOLA,MALE,NEPP,267,,OYO,OYO
31,SARUMI - ALIYU ASHABI BOLANLE,FEMALE,NIP,382,,OYO,OYO
32,EDWARD OLUFEYISANYO LADOYE,MALE,NPM,206,,OYO,OYO
33,YINUSA KAZEEM AYANDOYE,MALE,NRM,316,,OYO,OYO
34,AKINDE AKIN S,MALE,PDC,"1,759",,OYO,OYO
,,,,,Declared,OYO,OYO
35,OLUSEYI MAKINDE,MALE,PDP,"515,621",,OYO,OYO
,,,,,Elected,OYO,OYO
36,TAIWO OBIYEMI OTEGBEYE,MALE,PPC,"1,025",,OYO,OYO
37,GBADAMOSI BASIRU ALAGBE,MALE,PPN,243,,OYO,OYO
38,MOBOLAJI AYORINDE,MALE,SDP,660,,OYO,OYO
1,SAMUEL DANAUTA KYARSHIK,MALE,ABP,"1,071",,PLATEAU,PLATEAU
2,DAWAH YOHANNA D.,MALE,AD,229,,PLATEAU,PLATEAU
3,MUSA BITRUS JOSEPH,MALE,ADC,"1,627",,PLATEAU,PLATEAU
4,JONATHAN N. TEMLONG,MALE,ADP,"4,670",,PLATEAU,PLATEAU
5,ALEX LADAN,MALE,ANN,"2,273",,PLATEAU,PLATEAU
,,,,,Declared,PLATEAU,PLATEAU
6,SIMON BAKO LALONG,MALE,APC,"595,582",,PLATEAU,PLATEAU
,,,,,Elected,PLATEAU,PLATEAU
7,TIMOTHY BABA PARLONG,MALE,APGA,394,,PLATEAU,PLATEAU
8,AZENDA ONEV JOSEPH,MALE,CAP,31,,PLATEAU,PLATEAU
9,YOHANA YILPWAN DYELLKOP,MALE,DA,61,,PLATEAU,PLATEAU
10,USMAN ZAKARIAH BITRUS,MALE,DPC,101,,PLATEAU,PLATEAU
11,BULUS MUSA KEWA,MALE,FRESH,179,,PLATEAU,PLATEAU
12,JOHN JATAU BIGWAN,MALE,GPN,428,,PLATEAU,PLATEAU
13,APATAK REUBEN ABOH,MALE,JMPP,120,,PLATEAU,PLATEAU
14,NURA TANKO,MALE,LP,178,,PLATEAU,PLATEAU
15,MELCHOIR M. GOWON,MALE,MPN,233,,PLATEAU,PLATEAU
16,JAMES HOMITHAN VICTOR,MALE,NRM,538,,PLATEAU,PLATEAU
17,DAJAGHAS MOHAMMED U. I,MALE,PDC,"1,317",,PLATEAU,PLATEAU
18,JEREMIAH TIMBUT USENI,MALE,PDP,"546,813",,PLATEAU,PLATEAU
19,HARUNA KHITWE DABIN,MALE,PPC,"1,461",,PLATEAU,PLATEAU
20,MANGAI JERRY ISHAYA,MALE,PPN,115,,PLATEAU,PLATEAU
21,DADIHITLER FRANKUN,MALE,PT,63,,PLATEAU,PLATEAU
22,GODFREY S. O MIRI,MALE,SDP,"2,382",,PLATEAU,PLATEAU
23,JERRY MABWEH MOLTOK,MALE,UPC,34,,PLATEAU,PLATEAU
24,ISA ARZUKA JEGA,MALE,UPP,54,,PLATEAU,PLATEAU
1,,MALE,A,"13,337",,RIVERS,RIVERS
2,ALLISON LARRY TAMUNO TONYE,MALE,AA,"2,314",,RIVERS,RIVERS
3,AWARA BIOKPOMABO FESTUS,MALE,AAC,"173,859",,RIVERS,RIVERS
4,WOKEKORO DIKE,MALE,AAP,"1,004",,RIVERS,RIVERS
5,PRINCE KALLADA ALISON,MALE,ABP,156,,RIVERS,RIVERS
6,ECHEZOLAM NWEKE,MALE,ACD,"1,166",,RIVERS,RIVERS
7,CHINEMIKE ORGWU MILLER,MALE,ACPN,554,,RIVERS,RIVERS
8,ICHENWO UCHECHUKWU,MALE,AD,341,,RIVERS,RIVERS
9,BRAIDE ENIYEM,MALE,ADC,"2,409",,RIVERS,RIVERS
10,VICTOR TAMIE FINGESI,MALE,ADP,"1,860",,RIVERS,RIVERS
11,INYE DOKUBO O.,FEMALE,AGAP,364,,RIVERS,RIVERS
12,KEMKA STANLEY ELENWO,MALE,ANDP,175,,RIVERS,RIVERS
13,CORNELIUS NGEDO,MALE,ANP,84,,RIVERS,RIVERS
14,NAPOLEON MARU CHIBUZOR,MALE,APA,146,,RIVERS,RIVERS
15,ZEBULUN WARIGBANI EZEKIEL,MALE,APDA,"1,421",,RIVERS,RIVERS
16,OHIA PRINCE OBI,MALE,APGA,949,,RIVERS,RIVERS
17,KUKAWG BARINE KEN,MALE,APM,158,,RIVERS,RIVERS
18,LESSI GABRIEL GBOROGBOSI,MALE,APP,429,,RIVERS,RIVERS
19,DEEKAE RICHARD KIADUM,MALE,ASD,225,,RIVERS,RIVERS
20,BROWN REBECCA,FEMALE,BNPP,128,,RIVERS,RIVERS
21,EMESIOBI ELVIS MOSES,MALE,CAP,83,,RIVERS,RIVERS
22,NWANZE OGBOGU MICHAEL,MALE,CC,113,,RIVERS,RIVERS
23,YELLOWE IPALIBO HORATIO,MALE,CNP,319,,RIVERS,RIVERS
24,OBRASUA JOHNBULL,MALE,DA,73,,RIVERS,RIVERS
25,ACHIRA UKACHUKWU U.,MALE,DPC,452,,RIVERS,RIVERS
26,EMMANUEL NWABRIJE,MALE,DPP,231,,RIVERS,RIVERS
27,CHUKWULADI AHIAKWO,MALE,FJP,164,,RIVERS,RIVERS
28,ALASO AKPANA YOUNG,MALE,GPN,396,,RIVERS,RIVERS
29,CHINWEIKE ELEM,MALE,HDP,151,,RIVERS,RIVERS
30,IHUNWO SAMUEL NKEMIKA,MALE,ID,226,,RIVERS,RIVERS
31,EZEKIEL AYENWEGWE,MALE,JMPP,47,,RIVERS,RIVERS
32,IGBANIBO PRINCE BELE,MALE,KP,128,,RIVERS,RIVERS
33,WONWU ISAAC,MALE,LP,"2,690",,RIVERS,RIVERS
34,SAMSON LEADER S,MALE,LPN,138,,RIVERS,RIVERS
35,UCHEGBU CHARLES CHIMELE,MALE,MAJA,103,,RIVERS,RIVERS
36,IKEJI CHIKWERI,MALE,MMN,142,,RIVERS,RIVERS
37,JOSEPH T. PRINCEWELL,MALE,MPN,122,,RIVERS,RIVERS
38,ENEFAA O.W. AMACHREE,MALE,MRDD,26,,RIVERS,RIVERS
39,ONYEMA ONYEKACHI,MALE,NAC,126,,RIVERS,RIVERS
40,IGBECHI ANTHONY ISAAC,MALE,NCMP,61,,RIVERS,RIVERS
1,HASSAN BELLO,MALE,A,61,,SOKOTO,SOKOTO
2,ABUBAKAR BELLO,MALE,AA,45,,SOKOTO,SOKOTO
3,LAWAL ABUBAKAR,MALE,AAP,220,,SOKOTO,SOKOTO
4,JAMILU ADAMU,MALE,ABP,118,,SOKOTO,SOKOTO
5,RIGOH AHMED,MALE,ACPN,143,,SOKOTO,SOKOTO
6,ALH. SULAIMAN ALIYI,MALE,AD,124,,SOKOTO,SOKOTO
7,ABDULLAHI MALAMI SHEHU,MALE,ADC,174,,SOKOTO,SOKOTO
8,BELLO A. ABUBAKAR,MALE,AGA,176,,SOKOTO,SOKOTO
9,BASHIRU YUSUF,MALE,AGAP,94,,SOKOTO,SOKOTO
10,ABUBAKAR AHMED,MALE,ANDP,158,,SOKOTO,SOKOTO
11,AHMAD AHMAD JA'O,MALE,APA,"1,344",,SOKOTO,SOKOTO
12,AHMED ALIYU SOKOTO,MALE,APC,"511,660",,SOKOTO,SOKOTO
13,GATAWA BASHIRU IBRAHIM,MALE,APDA,936,,SOKOTO,SOKOTO
14,WADATA BELLO,MALE,APGA,170,,SOKOTO,SOKOTO
15,ISIYAKU BELLO,MALE,BNPP,58,,SOKOTO,SOKOTO
16,ALIYU NAMAKKA,MALE,DA,30,,SOKOTO,SOKOTO
17,NASIRU CHIKA HAIDARA,MALE,DPC,60,,SOKOTO,SOKOTO
18,MUHAMMAD JAMILU IMAM,MALE,DPP,294,,SOKOTO,SOKOTO
19,MUHAMMED ABUBAKAR,MALE,GDPN,139,,SOKOTO,SOKOTO
20,BASHAR MUHAMMED ASSADA,MALE,GPN,121,,SOKOTO,SOKOTO
21,IBRAHIM BABAJO AHMED,MALE,ID,110,,SOKOTO,SOKOTO
22,ABUBAKAR YARO,MALE,JMPP,"1,501",,SOKOTO,SOKOTO
23,ALIYU SA'IDU,FEMALE,KP,152,,SOKOTO,SOKOTO
24,MANWUJA ALIYU HUSSANI,MALE,LP,96,,SOKOTO,SOKOTO
25,ALYASUF GARBA INNUWA,MALE,MMM,117,,SOKOTO,SOKOTO
26,MUJITTABA AMINU,MALE,MPN,121,,SOKOTO,SOKOTO
27,KABIRU ALHAJI MUHAMMAD,MALE,MRDD,196,,SOKOTO,SOKOTO
28,UMAR BELLO,MALE,NAC,117,,SOKOTO,SOKOTO
29,SADIQ MUHAMMAD HARUNA,MALE,NCMP,265,,SOKOTO,SOKOTO
30,ABBA SIDI AHMAD,MALE,NCP,64,,SOKOTO,SOKOTO
31,MALAMI SHIITU,MALE,NDLP,143,,SOKOTO,SOKOTO
32,ALIYU MUSA NAYABA,MALE,NEPP,48,,SOKOTO,SOKOTO
33,IBRAHIM YAHAYA ALKAMMAWA,MALE,NNPP,30,,SOKOTO,SOKOTO
34,MUHAMMAD YAHAYA,MALE,NPC,77,,SOKOTO,SOKOTO
35,DALHATU ALHAJI ALHAJI,MALE,NRM,94,,SOKOTO,SOKOTO
36,UMAR FAROUK MOHAMMED,MALE,NUP,104,,SOKOTO,SOKOTO
37,NISIRU ALIYU,MALE,PCP,949,,SOKOTO,SOKOTO
38,IBRAHIM BELLO BODINGA,MALE,PDC,945,,SOKOTO,SOKOTO
1,DAHIRU YUNUSA SHAGARDA,MALE,A,77,,TARABA,TARABA
2,KWAGHKAR JULIUS EMBERGA,MALE,AA,471,,TARABA,TARABA
3,KEFAS SULE,MALE,ABP,194,,TARABA,TARABA
4,UMAR ABUBAKAR,MALE,ACD,85,,TARABA,TARABA
5,BALA KABIRU,MALE,ACPN,69,,TARABA,TARABA
6,IBRAHIM MANZO MOHAMMED,MALE,ADC,168,,TARABA,TARABA
7,SANI SAIDU,MALE,AGA,594,,TARABA,TARABA
8,ABUBAKAR SANI DANLADI,MALE,APC,"362,735",,TARABA,TARABA
9,ADAMU DANBAKO IBRAHIM,MALE,APGA,"4,098",,TARABA,TARABA
10,BANTI HENRY HANIEL,MALE,APP,89,,TARABA,TARABA
11,UTSUMIU - NYEN AKIN ISHAYA MISSA,MALE,CAP,21,,TARABA,TARABA
12,BELLO A AHMED,MALE,DA,32,,TARABA,TARABA
13,FARUK ALHAJI MUHAMMED,MALE,DPP,265,,TARABA,TARABA
14,SANUSI A. T HAMZA,MALE,FJP,17,,TARABA,TARABA
15,ABDULLAHI RABSANJANI,MALE,GDPN,20,,TARABA,TARABA
16,BALA DANLAMI ADI,MALE,LP,44,,TARABA,TARABA
17,PAUL JAMASURU TANKWA,MALE,MAJA,37,,TARABA,TARABA
18,PHILLIP SOJE SHIN,MALE,MPN,69,,TARABA,TARABA
19,BAGARMI KAMALUDEEN MUHAMMED SOJE,MALE,MRDD,49,,TARABA,TARABA
20,JAPHET MAGDALINE TOBBI,FEMALE,NAC,91,,TARABA,TARABA
21,AHMAD MURTALA ISAH,MALE,NDLP,77,,TARABA,TARABA
22,DANJUMA UMARU,MALE,NRM,730,,TARABA,TARABA
,,,,,Declared,TARABA,TARABA
23,DARIUS DICKSON ISHAKU,MALE,PDP,"520,433",,TARABA,TARABA
,,,,,Elected,TARABA,TARABA
24,BELLO MOHAMMED,MALE,PPA,564,,TARABA,TARABA
25,AHMED BALA GASSOL,MALE,PPN,153,,TARABA,TARABA
26,STEPHEN BISHI,MALE,SDP,743,,TARABA,TARABA
27,ALHASSAN AISHA JUMMAI,FEMALE,UDP,"16,289",,TARABA,TARABA
28,MUSA BAH KANAWA,MALE,YDP,"1,208",,TARABA,TARABA
29,AHMADU UMARU SALIM,MALE,YPP,249,,TARABA,TARABA
30,ISSA MUSA,MALE,ZLP,45,,TARABA,TARABA
1,ISAH MOHAMMED,MALE,ADC,"1,350",,YOBE,YOBE
,,,,,Declared,YOBE,YOBE
2,MAI MALA,MALE,APC,"444,013",,YOBE,YOBE
,,,,,Elected,YOBE,YOBE
3,IDRIS MOHAMMED WAZIRI,MALE,ASD,961,,YOBE,YOBE
