S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE,ELECTION-TYPE,ZONE
9,ACHANA GAJUS YARO,MALE,PRP,"1,116",,GOMBE-SOUTH,GOMBE,SENATE,
10,HANNATU AHMED YARO,FEMALE,SDP,266,,GOMBE-SOUTH,GOMBE,SENATE,
11,HUSSAINI AHMED,MALE,UPN,36,,GOMBE-SOUTH,GOMBE,SENATE,
1,UGOMUOH CHARLES,MALE,A,"1,735",,IMO-EAST,IMO,SENATE,
2,CHYMA ANTHONY,MALE,AA,"3,140",,IMO-EAST,IMO,SENATE,
3,CHIDI KENEDY MBAGWU,MALE,ACD,306,,IMO-EAST,IMO,SENATE,
4,ETHEL NGOZI NWANNA,FEMALE,ADC,444,,IMO-EAST,IMO,SENATE,
5,ONYEUGO RAYMOND U.,MALE,ADP,436,,IMO-EAST,IMO,SENATE,
6,ADELINE IWUAGU EMIHE,FEMALE,AGAP,219,,IMO-EAST,IMO,SENATE,
7,EBUBEDIKE CASMIR KELECHI,MALE,ANRP,157,,IMO-EAST,IMO,SENATE,
8,OJINERE EMMANUEL UMUNAKWE,MALE,APC,"33,729",,IMO-EAST,IMO,SENATE,
9,NWACHUKWU MIKE,MALE,APGA,"18,854",,IMO-EAST,IMO,SENATE,
10,IBE STEPHEN NNAMDI,MALE,APM,41,,IMO-EAST,IMO,SENATE,
11,NNADI CHARLES,MALE,APP,121,,IMO-EAST,IMO,SENATE,
12,DONALD UGONMA,FEMALE,ASD,150,,IMO-EAST,IMO,SENATE,
13,OBI HOPE ONYEWUCHI,MALE,DA,94,,IMO-EAST,IMO,SENATE,
14,ORIE CHRISTOPHER ONWUDIWE,MALE,DPC,238,,IMO-EAST,IMO,SENATE,
15,NWANSI CHIJINDU CHARLES,MALE,GPN,47,,IMO-EAST,IMO,SENATE,
16,OGUIJE EUCHARIA ANAYO,FEMALE,JMPP,23,,IMO-EAST,IMO,SENATE,
17,OKEAHIALAM LEO NKEMJIKA,MALE,LP,34,,IMO-EAST,IMO,SENATE,
18,EMUKA BASIL OBINNA,MALE,MMN,6,,IMO-EAST,IMO,SENATE,
19,KELECHI CHUKWUOHA,MALE,MPN,31,,IMO-EAST,IMO,SENATE,
20,EMEDON NKIRU ODIOYEYE,FEMALE,NAC,81,,IMO-EAST,IMO,SENATE,
21,KENNS-UGORJI KINGSLEY,MALE,NDLP,16,,IMO-EAST,IMO,SENATE,
22,ETONYEAKU OKECHUKWU UBA,MALE,NEPP,56,,IMO-EAST,IMO,SENATE,
23,ONYEALUSIM JENNIFER,FEMALE,NIP,34,,IMO-EAST,IMO,SENATE,
24,OZUZU NNAMDI EDWIN,MALE,NRM,25,,IMO-EAST,IMO,SENATE,
25,OSUOCHA CHIKEZIE EJIOGU,MALE,PDC,23,,IMO-EAST,IMO,SENATE,
1,NNADI KELECHI SOLOMON,M,A,449,,IMO-WEST,IMO,SENATE,
2,EMELU KENNETH CHUKWUEMEKA,M,AA,"4,730",,IMO-WEST,IMO,SENATE,
3,OHAJIANYA HENRY,M,ACD,115,,IMO-WEST,IMO,SENATE,
4,NWAKOZOR VERNATIUS,M,ADC,315,,IMO-WEST,IMO,SENATE,
5,EKWUTUSILAM EZEALA THEOPHILUS,M,ADP,101,,IMO-WEST,IMO,SENATE,
6,OBIOMA CHRISTIAN CHIDIEBERE,M,AGAP,250,,IMO-WEST,IMO,SENATE,
7,OKOROCHA ETHELBERT ANAYO ROCHAS,M,APC,"92,262",ELECTED,IMO-WEST,IMO,SENATE,
8,IZUNASO OSITA BONAVENTURE,M,APGA,"30,923",,IMO-WEST,IMO,SENATE,
9,OBINNA EMEKA E.,M,APM,43,,IMO-WEST,IMO,SENATE,
10,EZENWA NESTOR IBEGBUNAM,M,APP,99,,IMO-WEST,IMO,SENATE,
11,OZUMBA CHIMBUOYIM,M,ASD,9,,IMO-WEST,IMO,SENATE,
12,ONYEKWERE DONATUS UCHE,M,C4C,27,,IMO-WEST,IMO,SENATE,
13,ONUOHA COLLINS ONYEMAUCHE,M,CAP,16,,IMO-WEST,IMO,SENATE,
14,OKECHUKWU FUNSY,M,DA,18,,IMO-WEST,IMO,SENATE,
15,UKADIKE BOBBY TOCHUKWU,M,FJP,87,,IMO-WEST,IMO,SENATE,
16,UGWUEZU MBA REGINALD CHIMNEMEREM,M,GPN,8,,IMO-WEST,IMO,SENATE,
17,UKWUEGBU HERBERT,M,JMPP,6,,IMO-WEST,IMO,SENATE,
18,NWACHUKWU GOODLUCK CLEMENT,M,KP,109,,IMO-WEST,IMO,SENATE,
19,IBEH UCHENNA ONYEOMA,F,LP,152,,IMO-WEST,IMO,SENATE,
20,EJIAKOR NATHAN CHIKE,M,MPN,39,,IMO-WEST,IMO,SENATE,
21,ORISAKWE IZUCHUKWU JOHN,M,NDLP,152,,IMO-WEST,IMO,SENATE,
22,OSUALA CASMIR,M,NEPP,47,,IMO-WEST,IMO,SENATE,
23,KINGSLEY CHIBUZOR AMADI,M,NFD,25,,IMO-WEST,IMO,SENATE,
24,OBIOHA CHRISTOPHER U.A,M,NNPP,30,,IMO-WEST,IMO,SENATE,
1,IBRAHIM MOHAMMED,M,ADC,363,,JIGAWA-NORTHEAST,JIGAWA,SENATE,
2,HASSAN IBRAHIM HADEIJA,M,APC,"184,185",ELECTED,JIGAWA-NORTHEAST,JIGAWA,SENATE,
3,JAMILU USMAN,M,DA,218,,JIGAWA-NORTHEAST,JIGAWA,SENATE,
4,SALIHI YUSUF SANI,M,MPN,106,,JIGAWA-NORTHEAST,JIGAWA,SENATE,
6,SHITU UBALE MOHAMMED,M,PDP,"103,039",,JIGAWA-NORTHEAST,JIGAWA,SENATE,
7,ISYAKU MOHAMMED LELEKUDU,M,PPA,140,,JIGAWA-NORTHEAST,JIGAWA,SENATE,
8,ABDULLAHI MUHAMMAD B.,M,PPC,179,,JIGAWA-NORTHEAST,JIGAWA,SENATE,
9,KAUGAMA RABIU GARBA,M,SDP,"14,697",,JIGAWA-NORTHEAST,JIGAWA,SENATE,
1,BALARABE YAU KANYA,M,ADC,532,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
2,SANKARA DANLADI ABDULLAHI,M,APC,"286,655",ELECTED,JIGAWA-NORTHWEST,JIGAWA,SENATE,
3,AMINU NJIDDA,M,DA,454,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
4,ISAH LAWAN,M,JMPP,146,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
5,SALISU ZAINAB,F,MPN,205,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
6,ABDULLAHI BAYERO,M,PDM,305,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
7,RONI UMAR NASIRU,M,PDP,"120,314",,JIGAWA-NORTHWEST,JIGAWA,SENATE,
8,SALISU USMAN,M,PPC,299,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
9,BASIRU ALIYU,M,PPN,106,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
10,HALADU M'HMED ZARADA,M,PRP,471,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
11,SEN MOHAMMED DADE ALKALI,M,SDP,"29,986",,JIGAWA-NORTHWEST,JIGAWA,SENATE,
12,UMAR ABBA,M,YPP,125,,JIGAWA-NORTHWEST,JIGAWA,SENATE,
1,IBAH ADAMU BELLO,MALE,A,409,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
2,BALA IBRAHIM,MALE,ACPN,164,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
3,ISAH YAU SHUWARIN,MALE,ADC,420,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
4,MOHAMMED SABO,MALE,APC,"224,543",ELECTED,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
5,HUHU GARBA,MALE,DA,508,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
6,MOHAMMED ABDUSSALAM,MALE,MPN,135,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
8,LAMIDO MUSTAPHA SULE,MALE,PDP,"143,611",,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
9,ASHIRU MUHAMMED,MALE,PPC,334,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
10,ABUBAKAR ILIYASU,MALE,PT,68,,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
11,ASHIRU SUNUSI KATANGA,MALE,SDP,"3,496",,JIGAWA-SOUITHWEST,JIGAWA,SENATE,
1,IBRAHIM ALIKO NASIRU,M,A,367,,kano-central,kano,SENATE,
2,RABIU ALMUSTAFA,M,AA,298,,kano-central,kano,SENATE,
3,ABDULLAHI IBRAHIM,M,AD,903,,kano-central,kano,SENATE,
4,MUSA SHUABU UNGOGO,M,ADC,"1,227",,kano-central,kano,SENATE,
5,SA'AD ABDULMAJEED BABANGIDA,M,ADP,"1,082",,kano-central,kano,SENATE,
6,SHEHU MUNZALI,M,AGA,345,,kano-central,kano,SENATE,
7,BUHARI ABBAS,M,ANDP,236,,kano-central,kano,SENATE,
8,BASAF ABDULLAHI GHALI,M,ANP,287,,kano-central,kano,SENATE,
9,NASIRU IBRAHIM,M,APA,912,,kano-central,kano,SENATE,
10,SHEKARAU IBRAHIM,M,APC,"506,271",ELECTED,kano-central,kano,SENATE,
11,BUHARI LAILA,F,APDA,"4,182",,kano-central,kano,SENATE,
12,AMINU AHMAD UMAR,M,APP,387,,kano-central,kano,SENATE,
13,MUSTAPHA ABUBAKAR,M,CAP,111,,kano-central,kano,SENATE,
14,MUHAMMAD SANI AHMAD,M,DA,148,,kano-central,kano,SENATE,
15,ABDU DIJE L.,F,DPC,148,,kano-central,kano,SENATE,
16,KANKAROFI AHMED BALA,M,GPN,706,,kano-central,kano,SENATE,
17,ISA BIN HARON,M,JMPP,122,,kano-central,kano,SENATE,
18,HARUNA IBRAHIM,M,LP,167,,kano-central,kano,SENATE,
19,HADI INUWA M.,M,LPN,720,,kano-central,kano,SENATE,
20,MUSTAPHA SALMAN,M,MMN,135,,kano-central,kano,SENATE,
21,GARBA AMINU,M,MPN,544,,kano-central,kano,SENATE,
22,SAIDU SHEHU UBALE,M,NAC,234,,kano-central,kano,SENATE,
23,HAUWA IBRAHIM EL-YAKUB,F,NPM,"1,138",,kano-central,kano,SENATE,
24,AL-GHAZALI IBRAHIM ALI,M,NRM,473,,kano-central,kano,SENATE,
1,GWARZO JAMILU AHMED,M,A,94,,KANO-NORTH,KANO,SENATE,
2,AHMAD ADO,M,AA,351,,KANO-NORTH,KANO,SENATE,
3,BASHIR ALI,M,ACD,96,,KANO-NORTH,KANO,SENATE,
4,IBRAHIM LABO UMAR,M,AD,"1,314",,KANO-NORTH,KANO,SENATE,
5,SHAMSUDEEN BICHI,M,ADC,193,,KANO-NORTH,KANO,SENATE,
6,AHMED KABIRU BICHI,M,AGA,309,,KANO-NORTH,KANO,SENATE,
7,ABUBAKAR ABUBAKAR,M,ANDP,"1,723",,KANO-NORTH,KANO,SENATE,
8,BANGARE WASILU HASSAN,M,ANP,765,,KANO-NORTH,KANO,SENATE,
9,BARAU JIBRIN I.,M,APC,"286,419",ELECTED,KANO-NORTH,KANO,SENATE,
10,MAIKUDI SULAIMAN,M,APDA,"5,551",,KANO-NORTH,KANO,SENATE,
11,ALI KABIRU MUHAMMAD,M,APP,270,,KANO-NORTH,KANO,SENATE,
12,GARBA TAUWA AUWAL,M,CAP,54,,KANO-NORTH,KANO,SENATE,
13,BAGWAI GADDAFI SANI,M,DPC,70,,KANO-NORTH,KANO,SENATE,
14,HASIRU HASSAN,M,GPN,66,,KANO-NORTH,KANO,SENATE,
15,GAMBO ABUBAKAR IDRIS,M,HDP,62,,KANO-NORTH,KANO,SENATE,
16,HASSAN SHUAIBU MOHAMMED,M,JMPP,71,,KANO-NORTH,KANO,SENATE,
17,SHEHU MUSTAPHA GWARZO,M,LP,136,,KANO-NORTH,KANO,SENATE,
18,BALARABE ALKASSIM AHMAD,M,LPN,186,,KANO-NORTH,KANO,SENATE,
19,SHEHU ABDULLAHI NUHU,M,MPN,172,,KANO-NORTH,KANO,SENATE,
20,MOHAMMED HARUNA SHUWAKI,M,NPM,339,,KANO-NORTH,KANO,SENATE,
21,AHMED GARBA BICHI,M,PDP,"155,638",,KANO-NORTH,KANO,SENATE,
22,MUHAMMAD AYUBA,M,PPA,372,,KANO-NORTH,KANO,SENATE,
23,AUWAL ABDULLAHI M,M,PPC,"1,649",,KANO-NORTH,KANO,SENATE,
24,SALE USMAN,M,PPN,244,,KANO-NORTH,KANO,SENATE,
25,LAWAL ADANAN AUDI,M,PRP,"10,364",,KANO-NORTH,KANO,SENATE,
1,UMAR YUSUF KIBIYA,M,A,111,,KANO-SOUTH,KANO,SENATE,
2,SHA'ARANI YUSUF MUHD,M,AA,115,,KANO-SOUTH,KANO,SENATE,
3,NASIRU MUHAMMAD,M,ACD,133,,KANO-SOUTH,KANO,SENATE,
4,ZAHARADEEN I KARAYE,M,AD,381,,KANO-SOUTH,KANO,SENATE,
5,ABUBARKAR MURTALA ABDULLAHI,M,ADC,507,,KANO-SOUTH,KANO,SENATE,
6,GAYA MUSTAPHA IDI,M,ADP,264,,KANO-SOUTH,KANO,SENATE,
7,SHEHI ABBA KIRU,M,AGA,265,,KANO-SOUTH,KANO,SENATE,
8,HASSAN AL HASSAN,M,ANDP,261,,KANO-SOUTH,KANO,SENATE,
9,RIMI MUHAMMAD GALADIMA,M,ANP,"2,065",,KANO-SOUTH,KANO,SENATE,
10,ABDULRAHMAN ABUBAKAR,M,APA,830,,KANO-SOUTH,KANO,SENATE,
11,GAYA IBRAHIM KABIRU,M,APC,"319,004",WINNER,KANO-SOUTH,KANO,SENATE,
12,SANI ABDULLAHI,M,APDA,859,,KANO-SOUTH,KANO,SENATE,
13,YAKUBU YAKUBU ABUBAKAR,M,APP,191,,KANO-SOUTH,KANO,SENATE,
14,IBRAHIM ABDULRASHID SAIDU,M,CAP,58,,KANO-SOUTH,KANO,SENATE,
15,HABIBU ABDULLAHI,M,DA,150,,KANO-SOUTH,KANO,SENATE,
16,ADAMU DANYAYA ZAREWA,M,GPN,101,,KANO-SOUTH,KANO,SENATE,
17,HAMZA SA'IDU,M,HDP,827,,KANO-SOUTH,KANO,SENATE,
18,MAGAJI KANI IBRAHIM,M,JMPP,89,,KANO-SOUTH,KANO,SENATE,
19,UMAR MUSA DARKI,M,LP,333,,KANO-SOUTH,KANO,SENATE,
20,SHEHU MAHMUD,M,LPN,223,,KANO-SOUTH,KANO,SENATE,
21,ABDULRASHID AUWAL,M,MPN,202,,KANO-SOUTH,KANO,SENATE,
22,ABUBARKAR SALEH MUHAMMAD,M,NPM,342,,KANO-SOUTH,KANO,SENATE,
23,ABDULLAHI SANI ROGO,M,PDP,"217,520",,KANO-SOUTH,KANO,SENATE,
24,MOHAMMED SULE,M,PPN,711,,KANO-SOUTH,KANO,SENATE,
25,YAHAYA BALA KARAYE,M,PRP,"30,013",,KANO-SOUTH,KANO,SENATE,
1,LAWAL BOYI SALIMU,M,A,"1,386",,KATSINA-CENTRAL,KATSINA,SENATE,
2,UMAR HALADU,M,ADC,"1,209",,KATSINA-CENTRAL,KATSINA,SENATE,
3,ABDULLAHI ENGR. KABIR BARKIYA,M,APC,"340,800",ELECTED,KATSINA-CENTRAL,KATSINA,SENATE,
4,LAWAL ABUBAKAR,M,DA,472,,KATSINA-CENTRAL,KATSINA,SENATE,
5,ABBA ARMA YA'U,M,JMPP,182,,KATSINA-CENTRAL,KATSINA,SENATE,
6,SADA ZAINAB MOHAMMED,F,NRM,"1,301",,KATSINA-CENTRAL,KATSINA,SENATE,
7,GAMBO HAMISU,M,PDP,"124,372",,KATSINA-CENTRAL,KATSINA,SENATE,
8,YUSUF KABIRU,M,PPN,321,,KATSINA-CENTRAL,KATSINA,SENATE,
9,BALA HARUNA,M,PRP,285,,KATSINA-CENTRAL,KATSINA,SENATE,
10,KHALID ABDULLAHI,M,PT,77,,KATSINA-CENTRAL,KATSINA,SENATE,
11,ALH. ABUBAKAR BILYA FUNTUA,M,SDP,86,,KATSINA-CENTRAL,KATSINA,SENATE,
12,MUHAMMAD JIBIA SALISU,M,UPC,96,,KATSINA-CENTRAL,KATSINA,SENATE,
1,NALADO MUHAMMAD LAWAL,M,A,"14,152",,KATSINA-NORTH,KATSINA,SENATE,
2,MOHAMMED SADA LAWAL,M,ADC,182,,KATSINA-NORTH,KATSINA,SENATE,
3,BABBA AHMAD KAITA,M,APC,"339,438",ELECTED,KATSINA-NORTH,KATSINA,SENATE,
4,IBRAHIM NURA,M,DA,568,,KATSINA-NORTH,KATSINA,SENATE,
5,ADODO MURTALA ADAMU,M,JMPP,155,,KATSINA-NORTH,KATSINA,SENATE,
6,MAMMAN ABDULLAHI INGAWA,M,NRM,345,,KATSINA-NORTH,KATSINA,SENATE,
7,USMAN MANI NASARAWA,M,PDP,"127,529",,KATSINA-NORTH,KATSINA,SENATE,
8,MURTALA HALILU,M,PPC,268,,KATSINA-NORTH,KATSINA,SENATE,
9,LAWAL YAHAYA,M,PPN,52,,KATSINA-NORTH,KATSINA,SENATE,
10,MUSA ISMAIL,M,PRP,123,,KATSINA-NORTH,KATSINA,SENATE,
11,IBRAHIM SANI IRO,M,PT,24,,KATSINA-NORTH,KATSINA,SENATE,
12,HON. NURADEEN MUJAHID,M,SDP,59,,KATSINA-NORTH,KATSINA,SENATE,
1,MAL. NURA AMADU,M,ADC,625,,KATSINA-SOUTH,KATSINA,SENATE,
2,MANDIYA BELLO,M,APC,"433,139",ELECTED,KATSINA-SOUTH,KATSINA,SENATE,
3,SURAJO ZAHARADEEN FUNTUA,M,C4C,365,,KATSINA-SOUTH,KATSINA,SENATE,
4,YUSUF MUHAMMAD,M,NRM,515,,KATSINA-SOUTH,KATSINA,SENATE,
5,IMAM SHEHU INUWA,M,PDP,"158,081",,KATSINA-SOUTH,KATSINA,SENATE,
6,LAWAL ABUBAKAR,M,PPN,268,,KATSINA-SOUTH,KATSINA,SENATE,
7,SHU'AIBU MOHAMMED,M,PRP,"5,011",,KATSINA-SOUTH,KATSINA,SENATE,
8,ALIYU MOHAMMED MATAZU,M,PT,36,,KATSINA-SOUTH,KATSINA,SENATE,
9,YUNUSA LAWAL IBRAHIM,M,SDP,162,,KATSINA-SOUTH,KATSINA,SENATE,
1,MOHAMMED SHAFAATU,FEMALE,A,149,,KEBBI-NORTH,KEBBI,SENATE,
2,SANNI AISHATU,FEMALE,AD,209,,KEBBI-NORTH,KEBBI,SENATE,
3,BALA SUFFIYANU,MALE,ADC,151,,KEBBI-NORTH,KEBBI,SENATE,
4,ABDULLAHI  DANTATI,MALE,APA,607,,KEBBI-NORTH,KEBBI,SENATE,
5,ABDULLAHI ABUBAKAR YAHAYA,MALE,APC,"170,624",ELECTED,KEBBI-NORTH,KEBBI,SENATE,
6,HAMIDU UMAR,MALE,DA,"1,015",,KEBBI-NORTH,KEBBI,SENATE,
7,NUHU MOHAMMED,MALE,GPN,136,,KEBBI-NORTH,KEBBI,SENATE,
8,DALHATU KABIRU,MALE,HDP,176,,KEBBI-NORTH,KEBBI,SENATE,
9,IBRAHIM KABIRU,MALE,JMPP,106,,KEBBI-NORTH,KEBBI,SENATE,
10,SURU SHAMSU HUSAINI,MALE,MPN,106,,KEBBI-NORTH,KEBBI,SENATE,
11,SANUSI BALA USMAN,MALE,NCMP,85,,KEBBI-NORTH,KEBBI,SENATE,
12,ADAMU UMAR MAI GWAZA,MALE,NRM,111,,KEBBI-NORTH,KEBBI,SENATE,
13,USMAN BELLO SURU,MALE,PDP,"66,815",,KEBBI-NORTH,KEBBI,SENATE,
14,YAKUBU MAGAJIN HALILU,MALE,PT,301,,KEBBI-NORTH,KEBBI,SENATE,
15,GARBA ALIYU SANI,MALE,SDP,154,,KEBBI-NORTH,KEBBI,SENATE,
1,ABUBAKAR IBRAHIM,M,A,59,,KEBBI-CENTRAL,KEBBI,SENATE,
2,ABDULLAHI MOHAMMED,M,AAP,94,,KEBBI-CENTRAL,KEBBI,SENATE,
3,SHEHU FARUKU SHEHU,M,ADC,79,,KEBBI-CENTRAL,KEBBI,SENATE,
4,USMAN IBRAHIM,M,ANDP,63,,KEBBI-CENTRAL,KEBBI,SENATE,
5,ABUBAKAR HAJARA B/KEBBI,F,APA,410,,KEBBI-CENTRAL,KEBBI,SENATE,
6,ADAMU MAINASARA ALIERO MUHAMMAD,M,APC,"232,000",ELECTED,KEBBI-CENTRAL,KEBBI,SENATE,
7,BUHARI ABDULLAHI,M,APP,293,,KEBBI-CENTRAL,KEBBI,SENATE,
8,MUHAMMAD SIDI ALI,M,DA,58,,KEBBI-CENTRAL,KEBBI,SENATE,
9,ADBDULLAHI ABUBAKAR,M,DPP,134,,KEBBI-CENTRAL,KEBBI,SENATE,
10,SHEHU MOHAMMED MUSA,M,GPN,23,,KEBBI-CENTRAL,KEBBI,SENATE,
11,DANKO SANI ZUBAIRU,M,HDP,62,,KEBBI-CENTRAL,KEBBI,SENATE,
12,JEGA USMAN ADAMU,M,JMPP,10,,KEBBI-CENTRAL,KEBBI,SENATE,
13,AHMED YUSHA'U,M,KP,14,,KEBBI-CENTRAL,KEBBI,SENATE,
14,ABUBAKAR SUWAIBA,F,NAC,32,,KEBBI-CENTRAL,KEBBI,SENATE,
15,ABUBAKAR SHEHU,M,NCMP,38,,KEBBI-CENTRAL,KEBBI,SENATE,
16,KASIMU UMAR,M,NPC,144,,KEBBI-CENTRAL,KEBBI,SENATE,
17,MOHAMMAD HASSAN,M,NRM,368,,KEBBI-CENTRAL,KEBBI,SENATE,
18,SHEHU ABUBAKAR,M,PDP,"75,638",,KEBBI-CENTRAL,KEBBI,SENATE,
19,MUHAMMED ABDULAZIZ,M,PPA,325,,KEBBI-CENTRAL,KEBBI,SENATE,
20,MUHAMMED ZAYYANU,M,PPN,49,,KEBBI-CENTRAL,KEBBI,SENATE,
21,BAGUDU HELAMA,M,PT,50,,KEBBI-CENTRAL,KEBBI,SENATE,
22,UMAR BASHAR,M,RP,273,,KEBBI-CENTRAL,KEBBI,SENATE,
23,SANI SAMAILA,M,SDP,"5,919",,KEBBI-CENTRAL,KEBBI,SENATE,
24,LAWAL DAUDA,M,SNP,139,,KEBBI-CENTRAL,KEBBI,SENATE,
1,JUNAIDU MODI,M,ADC,609,,KEBBI-SOUTH,KEBBI,SENATE,
2,NA ALLAH BALA IBN,M,APC,"136,287",ELECTED,KEBBI-SOUTH,KEBBI,SENATE,
3,HAMIS YUSUF AHMED,M,DA,706,,KEBBI-SOUTH,KEBBI,SENATE,
4,MUSA AMINA,F,GPN,177,,KEBBI-SOUTH,KEBBI,SENATE,
5,MUSA ABANKA JOSEPH IBRAHIM,M,JMPP,117,,KEBBI-SOUTH,KEBBI,SENATE,
6,LAWAL MOHAMMED,M,NCMP,94,,KEBBI-SOUTH,KEBBI,SENATE,
7,AUDU SANUSI,M,NRM,150,,KEBBI-SOUTH,KEBBI,SENATE,
8,DIKKI BENJAMIN EZRA,M,PDP,"62,733",,KEBBI-SOUTH,KEBBI,SENATE,
9,HUSSAIN ZANGE ZURU,M,SDP,"1,584",,KEBBI-SOUTH,KEBBI,SENATE,
1,ABDULMALIK ZULEIHAT,F,A,18,,KOGI-CENTRAL,KOGI,SENATE,
2,JIMOH DAUDA RAJI,M,ACPN,86,,KOGI-CENTRAL,KOGI,SENATE,
3,SALIU YUSUF,M,AD,22,,KOGI-CENTRAL,KOGI,SENATE,
4,ABDULKADIR YAHAYA OHIANI,M,ADC,528,,KOGI-CENTRAL,KOGI,SENATE,
5,ADABARA ALIU KAREEM,M,ADP,214,,KOGI-CENTRAL,KOGI,SENATE,
6,YAKUBU OSENI,M,APC,"76,183",ELECTED,KOGI-CENTRAL,KOGI,SENATE,
7,EZEKIEL IRAH TAIYE,M,APM,82,,KOGI-CENTRAL,KOGI,SENATE,
8,AMOS AKINDELE,M,CAP,4,,KOGI-CENTRAL,KOGI,SENATE,
9,SALAMI ADEIZA CHRISTOHER,M,DA,20,,KOGI-CENTRAL,KOGI,SENATE,
10,ABDULRAHIM NASIRU,M,DPP,25,,KOGI-CENTRAL,KOGI,SENATE,
11,MOHAMMED O. IBRAHIM,M,LP,43,,KOGI-CENTRAL,KOGI,SENATE,
12,HAKEEM MOHAMMED,M,MPN,107,,KOGI-CENTRAL,KOGI,SENATE,
13,OGEMBE SALAU AHMED,M,PDP,"18,349",,KOGI-CENTRAL,KOGI,SENATE,
14,ONIMISI STEPHEN ALIYU,M,PPA,56,,KOGI-CENTRAL,KOGI,SENATE,
15,ISAH YUNUSA,M,PPN,31,,KOGI-CENTRAL,KOGI,SENATE,
16,NASIRU YAHAYA,M,PT,261,,KOGI-CENTRAL,KOGI,SENATE,
17,AKPOTI NATASHA HADIZA,F,SDP,"48,056",,KOGI-CENTRAL,KOGI,SENATE,
18,GABRIEL DANIEL OTOHINOYI,M,UPC,8,,KOGI-CENTRAL,KOGI,SENATE,
19,AVOSUAHI AMINU FATIMA,F,UPP,KO,,KOGI-CENTRAL,KOGI,SENATE,
1,EGWUABA REUBEN,M,A,997,,KOGI-EAST,KOGI,SENATE,
2,SALIHU UMAR OKAI,M,AA,138,,KOGI-EAST,KOGI,SENATE,
3,AGENE MATTHEW E,M,ACPN,143,,KOGI-EAST,KOGI,SENATE,
4,ADOJI VICTOR ALEWO,M,ADC,"31,171",,KOGI-EAST,KOGI,SENATE,
5,AUDU YUNISA IMADI,M,ANDP,413,,KOGI-EAST,KOGI,SENATE,
6,AKOJE KELVIN ENEOJO,M,ANN,341,,KOGI-EAST,KOGI,SENATE,
7,ISAH JIBRIN,M,APC,"134,189",ELECTED,KOGI-EAST,KOGI,SENATE,
8,EDIME GODWIN AMADE,M,APDA,"1,525",,KOGI-EAST,KOGI,SENATE,
9,OJOGBANE BENJAMIN IDOKO,M,APGA,782,,KOGI-EAST,KOGI,SENATE,
10,ACHENEJE GABRIEL,M,APM,115,,KOGI-EAST,KOGI,SENATE,
11,ODUFU COSMAS FRIDAY,M,CNP,50,,KOGI-EAST,KOGI,SENATE,
12,ATADOGA UGBEDE DAVID,M,DA,67,,KOGI-EAST,KOGI,SENATE,
13,DANLADI SULEIMAN ABU,M,DPP,83,,KOGI-EAST,KOGI,SENATE,
14,JOHN IDOKO AKPA,M,GDPN,26,,KOGI-EAST,KOGI,SENATE,
15,MOHAMMED LAWAL ABUBUKAR,M,GPN,15,,KOGI-EAST,KOGI,SENATE,
16,KATO FRANK,M,ID,114,,KOGI-EAST,KOGI,SENATE,
17,OBOY ALFA AMOS,M,JMPP,56,,KOGI-EAST,KOGI,SENATE,
18,YUNUSA  ABDULWAHAB,M,LP,245,,KOGI-EAST,KOGI,SENATE,
19,FRIDAY ADEMU ENEMONA,M,MPN,487,,KOGI-EAST,KOGI,SENATE,
20,"UMAR ABDULAZEEZ USMAN, ODEGIRI",M,NCP,157,,KOGI-EAST,KOGI,SENATE,
21,ABOH ADUOJO SAMUEL,M,NEPP,263,,KOGI-EAST,KOGI,SENATE,
22,ALI ATAI AIDOKO USMAN,M,PDP,"74,201",,KOGI-EAST,KOGI,SENATE,
23,EGWU AMANAH MATHIAS PAUL,M,PPA,338,,KOGI-EAST,KOGI,SENATE,
24,AKOGU GABRIEL BALA,M,PPC,304,,KOGI-EAST,KOGI,SENATE,
1,IBITOYE ROSLINE ABOSEDE,F,A,84,,KOGI-WEST,KOGI,SENATE,
2,IGBINYEMIN JEREMIAH TEMITOPE,M,ACPN,48,,KOGI-WEST,KOGI,SENATE,
3,ABAYOMI MOSES,M,AD,156,,KOGI-WEST,KOGI,SENATE,
4,JOHN ADEYEMI OLABODE,M,ADC,"6,861",,KOGI-WEST,KOGI,SENATE,
