S/N,NAME,GENDER,PARTY,VOTES,ELECTED,SENATORIAL DISTRICT,STATE
,,,,,Votes,ZAMFARA-CENTRAL-1,ZAMFARA
,,,,,Declared,ZAMFARA-CENTRAL-1,ZAMFARA
7,ALIYU IKRA BILBIS,M,APC,"74,792",Wasted by,ZAMFARA-CENTRAL-1,ZAMFARA
,,,,,the Supreme,ZAMFARA-CENTRAL-1,ZAMFARA
,,,,,Court,ZAMFARA-CENTRAL-1,ZAMFARA
8,GARBA ALIYU GUSAU,M,APDA,"2,134",,ZAMFARA-CENTRAL-1,ZAMFARA
9,USMAN KABIRU,M,APGA,"3,351",,ZAMFARA-CENTRAL-1,ZAMFARA
10,ALIYU JAMILU,M,APP,"1,017",,ZAMFARA-CENTRAL-1,ZAMFARA
11,MUHAMMED SULEIMAN,M,BNPP,29,,ZAMFARA-CENTRAL-1,ZAMFARA
12,MOHAMMED LIHIDDA AHMED,M,CAP,15,,ZAMFARA-CENTRAL-1,ZAMFARA
13,MUHAMMAD BILYA,M,DA,12,,ZAMFARA-CENTRAL-1,ZAMFARA
14,ILIYASU NASIRU,M,DPC,48,,ZAMFARA-CENTRAL-1,ZAMFARA
15,IBRAHIM MUHAMMAD,M,DPP,69,,ZAMFARA-CENTRAL-1,ZAMFARA
16,BILYAMINU ABDULLAHI,M,FJP,351,,ZAMFARA-CENTRAL-1,ZAMFARA
17,BABANGIDA UMAR MUHAMMAD,M,GPN,934,,ZAMFARA-CENTRAL-1,ZAMFARA
18,ANAS IBRAHIM,M,HDP,24,,ZAMFARA-CENTRAL-1,ZAMFARA
19,BARR. IBRAHIM NATSAHARA,M,JMPP,35,,ZAMFARA-CENTRAL-1,ZAMFARA
20,ADAMU MOHAMMED,M,MPN,141,,ZAMFARA-CENTRAL-1,ZAMFARA
21,MAYANA NA-ALLAH ISA,M,NRM,"10,590",,ZAMFARA-CENTRAL-1,ZAMFARA
,,,,,Declared,ZAMFARA-CENTRAL-1,ZAMFARA
22,MOHAMMED HASSAN,M,PDP,"54,859",Elected (By,ZAMFARA-CENTRAL-1,ZAMFARA
,,,,,Supreme Court,ZAMFARA-CENTRAL-1,ZAMFARA
,,,,,Order),ZAMFARA-CENTRAL-1,ZAMFARA
23,ADAMU BASHAR,M,PPA,96,,ZAMFARA-CENTRAL-1,ZAMFARA
24,TAMBAI BELLO MOHAMMED,M,PPN,78,,ZAMFARA-CENTRAL-1,ZAMFARA
25,RABIU MANNIR,M,PRP,69,,ZAMFARA-CENTRAL-1,ZAMFARA
26,ABUBAKAR MOHAMMED,M,PT,14,,ZAMFARA-CENTRAL-1,ZAMFARA
27,SANI AMINU,M,SDP,42,,ZAMFARA-CENTRAL-1,ZAMFARA
28,SAWIDI IBRAHIM,M,UPC,7,,ZAMFARA-CENTRAL-1,ZAMFARA
29,YUSUF SANI,M,ZLP,12,,ZAMFARA-CENTRAL-1,ZAMFARA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,ZAMFARA-NORTH-1,ZAMFARA
1,MAIGANDI ABUBAKAR,M,A,"2,152",,ZAMFARA-NORTH-1,ZAMFARA
2,BELLO NAJAMUDDEEN,M,ACD,149,,ZAMFARA-NORTH-1,ZAMFARA
3,MUHTARI ALIYU ALH.,M,AD,17,,ZAMFARA-NORTH-1,ZAMFARA
4,MUKTAR ABDULAHI,M,ADC,53,,ZAMFARA-NORTH-1,ZAMFARA
5,SAIDU MOHAMMED KWAMANDI,M,AGAP,180,,ZAMFARA-NORTH-1,ZAMFARA
,,,,,Votes,ZAMFARA-NORTH-1,ZAMFARA
,,,,,Declared,ZAMFARA-NORTH-1,ZAMFARA
6,KAURA TIJJANI YAHAYA,M,APC,"68,027",Wasted by,ZAMFARA-NORTH-1,ZAMFARA
,,,,,the Supreme,ZAMFARA-NORTH-1,ZAMFARA
,,,,,Court,ZAMFARA-NORTH-1,ZAMFARA
7,IBRAHIM SANI,M,APDA,352,,ZAMFARA-NORTH-1,ZAMFARA
8,MOHAMMED ABDULLAHI,M,APGA,"3,618",,ZAMFARA-NORTH-1,ZAMFARA
9,AMINU HARUNA,M,APP,14,,ZAMFARA-NORTH-1,ZAMFARA
10,ALIYU GARBA,M,BNPP,9,,ZAMFARA-NORTH-1,ZAMFARA
11,ASHIRU BAWA,M,C4C,14,,ZAMFARA-NORTH-1,ZAMFARA
12,SULAIMAN ADAMU,M,DA,20,,ZAMFARA-NORTH-1,ZAMFARA
13,ALTINE SURAJO,M,DPP,84,,ZAMFARA-NORTH-1,ZAMFARA
14,BABANGIDA ATTAHIRU LAWAL,M,GPN,25,,ZAMFARA-NORTH-1,ZAMFARA
15,AHMED ISA,M,NRM,"4,378",,ZAMFARA-NORTH-1,ZAMFARA
,,,,,Declared,ZAMFARA-NORTH-1,ZAMFARA
16,ALHAJI YA'U SAHABI,M,PDP,"43,521",Elected (By,ZAMFARA-NORTH-1,ZAMFARA
,,,,,Supreme Court,ZAMFARA-NORTH-1,ZAMFARA
,,,,,Order),ZAMFARA-NORTH-1,ZAMFARA
17,ZURMI MOHAMMED ALIYU,M,PPA,239,,ZAMFARA-NORTH-1,ZAMFARA
18,ZURMI LAWALI NABALA,M,PPN,34,,ZAMFARA-NORTH-1,ZAMFARA
19,ABDULLAHI MOHAMMED MAYASA,M,PT,35,,ZAMFARA-NORTH-1,ZAMFARA
20,IBRAHIM BASHIR,M,UPC,16,,ZAMFARA-NORTH-1,ZAMFARA
21,SANUSI ABDULLAHI,M,UPP,10,,ZAMFARA-NORTH-1,ZAMFARA
22,NURADEEN MOHAMMED MORIKI,M,ZLP,14,,ZAMFARA-NORTH-1,ZAMFARA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,ZAMFARA-WEST-1,ZAMFARA
1,ANKA ISHAQ IBRAHIM,M,A,"10,730",,ZAMFARA-WEST-1,ZAMFARA
2,ZAYYANU MUH'D GUNMI,M,ABP,61,,ZAMFARA-WEST-1,ZAMFARA
3,NA ALKALI SHEHU,M,AD,183,,ZAMFARA-WEST-1,ZAMFARA
4,ABUBAKAR WAKILI,M,ADC,523,,ZAMFARA-WEST-1,ZAMFARA
5,YUSUF AHMED SA'AD,M,AGAP,182,,ZAMFARA-WEST-1,ZAMFARA
,,,,,Votes,ZAMFARA-WEST-1,ZAMFARA
,,,,,Declared,ZAMFARA-WEST-1,ZAMFARA
6,ABUBAKAR ABDUL'AZIZ YARI,M,APC,"153,626",Wasted by,ZAMFARA-WEST-1,ZAMFARA
,,,,,the Supreme,ZAMFARA-WEST-1,ZAMFARA
,,,,,Court,ZAMFARA-WEST-1,ZAMFARA
7,ALIYU SANI ANKA,M,APDA,"1,312",,ZAMFARA-WEST-1,ZAMFARA
8,USMAN MURTALA,M,APGA,629,,ZAMFARA-WEST-1,ZAMFARA
9,LAWAL ABUBAKAR M.,M,APP,30,,ZAMFARA-WEST-1,ZAMFARA
10,NURA MUSA ANKA,M,DA,25,,ZAMFARA-WEST-1,ZAMFARA
11,GARBA MUJITTAPHA,M,DPC,42,,ZAMFARA-WEST-1,ZAMFARA
12,SANI ABDULLAHI,M,DPP,60,,ZAMFARA-WEST-1,ZAMFARA
13,ABUBARKAR MUHAMMAD,M,GPN,239,,ZAMFARA-WEST-1,ZAMFARA
14,MOHAMMED LOKOJA ABDULLAHI,M,NRM,"6,727",,ZAMFARA-WEST-1,ZAMFARA
,,,,,Declared,ZAMFARA-WEST-1,ZAMFARA
15,LAWALI HASSAN ANKA,M,PDP,"69,293",Elected (By,ZAMFARA-WEST-1,ZAMFARA
,,,,,Supreme Court,ZAMFARA-WEST-1,ZAMFARA
,,,,,Order),ZAMFARA-WEST-1,ZAMFARA
16,MOHAMMED RILWANU,M,PPN,113,,ZAMFARA-WEST-1,ZAMFARA
17,ANKA NASIR G.,M,PRP,555,,ZAMFARA-WEST-1,ZAMFARA
18,MOHAMMED IDRIS,M,PT,33,,ZAMFARA-WEST-1,ZAMFARA
19,ABUBAKAR MUHAMMED GUMMI,M,RBNP,25,,ZAMFARA-WEST-1,ZAMFARA
20,LIMA ABDULHAMID,M,SDP,28,,ZAMFARA-WEST-1,ZAMFARA
21,ABDULLAHI JUNAIDU,M,UPC,9,,ZAMFARA-WEST-1,ZAMFARA
22,UMAR HABIBU K.,M,UPP,7,,ZAMFARA-WEST-1,ZAMFARA
23,MURTALA MOHAMMED GWARAM,M,ZLP,19,,ZAMFARA-WEST-1,ZAMFARA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,BORNO-CENTRAL,BORNO
1,SHETTIMA KASHIM,MALE,APC,"342,898",ELECTED,BORNO-CENTRAL,BORNO
2,MOHAMMED BUKAR SADU,MALE,APM,487,,BORNO-CENTRAL,BORNO
3,KADIRI FEMA,MALE,APP,205,,BORNO-CENTRAL,BORNO
4,IBRAHIM KACHALLA,MALE,BNPP,224,,BORNO-CENTRAL,BORNO
5,ABUBAKAR AWANA ZUBAIRU,MALE,C4C,483,,BORNO-CENTRAL,BORNO
6,BABAGANA ALHAJI GAMBO,MALE,DA,233,,BORNO-CENTRAL,BORNO
7,JIBRIN MUSTAPHA TATABE,MALE,GPN,625,,BORNO-CENTRAL,BORNO
8,MANGA TIJANI MODU,MALE,ID,362,,BORNO-CENTRAL,BORNO
9,BUNU IBRAHIM,MALE,JMPP,347,,BORNO-CENTRAL,BORNO
10,MOHAMMED UMAR RAHIS,MALE,KP,212,,BORNO-CENTRAL,BORNO
11,MUSA ABDULKAREEM ISA,MALE,NCMP,317,,BORNO-CENTRAL,BORNO
12,MUSA FATIMA,FEMALE,NEPP,325,,BORNO-CENTRAL,BORNO
13,ISA MAMMAN,MALE,NPM,158,,BORNO-CENTRAL,BORNO
14,MALA MOHAMMED,MALE,NRM,429,,BORNO-CENTRAL,BORNO
15,MUHAMMED ABBA AJI,MALE,PDP,"75,569",,BORNO-CENTRAL,BORNO
16,MUHAMMAD ALI,MALE,PPA,222,,BORNO-CENTRAL,BORNO
17,ALI MODU,MALE,UPC,180,,BORNO-CENTRAL,BORNO
18,IBRAHIM BABA,MALE,UPN,211,,BORNO-CENTRAL,BORNO
19,GARBA ABUBAKAR BARMA,MALE,UPP,169,,BORNO-CENTRAL,BORNO
20,GONI ALI MUSTAPHA,MALE,YES,171,,BORNO-CENTRAL,BORNO
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,BORNO-NORTH,BORNO
1,KYARI ABUBAKAR SHAIB,MALE,APC,"76,963",ELECTED,BORNO-NORTH,BORNO
2,ABDULRAHMAN MOHAMMED TATABE,MALE,APM,221,,BORNO-NORTH,BORNO
3,TERAB WAKIL,MALE,GPN,138,,BORNO-NORTH,BORNO
4,ISA LAWAN,MALE,PDP,"36,042",,BORNO-NORTH,BORNO
5,AHMED ALHAJI MUHAMMAD,MALE,PPA,138,,BORNO-NORTH,BORNO
6,AJA ZARMA JARMA,MALE,UPC,59,,BORNO-NORTH,BORNO
7,MUHAMMAD BUKAR ALIBE,MALE,UPN,65,,BORNO-NORTH,BORNO
8,UMAR ALI,MALE,YES,69,,BORNO-NORTH,BORNO
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,BORNO-SOUTH,BORNO
1,NDUME MOHAMMED ALI,M,APC,"300,637",ELECTED,BORNO-SOUTH,BORNO
2,GARBA ADAMU,M,APM,339,,BORNO-SOUTH,BORNO
3,BUKAR WAKIL,M,GPN,"2,475",,BORNO-SOUTH,BORNO
4,SHETTIMA ALH MUSA,M,JMPP,94,,BORNO-SOUTH,BORNO
5,MUSTAPHA UMAR,M,KP,439,,BORNO-SOUTH,BORNO
6,KUDLA MILINDA SATUMARI,M,PDP,"84,608",,BORNO-SOUTH,BORNO
7,MUHAMMAD GUDU GARBA,M,PPA,"1,119",,BORNO-SOUTH,BORNO
8,HAMIDU USMAN KIMBA,M,SDP,291,,BORNO-SOUTH,BORNO
9,HASSAN ABDULLAHI,M,UPC,72,,BORNO-SOUTH,BORNO
10,ADO ALI,M,YES,167,,BORNO-SOUTH,BORNO
11,DAVID BUBA SHALJABA,M,ZLP,"7,777",,BORNO-SOUTH,BORNO
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,KADUNA-CENTRAL,KADUNA
1,BALA SAGIR,MALE,A,79,,KADUNA-CENTRAL,KADUNA
2,TIJANI HALIMA TURAKI,FEMALE,ABP,313,,KADUNA-CENTRAL,KADUNA
3,IBRAHIM YUSUF,MALE,ADC,279,,KADUNA-CENTRAL,KADUNA
4,ABDULRAHMAN MOHAMMED,MALE,AGAP,391,,KADUNA-CENTRAL,KADUNA
5,SANI UBA,MALE,APC,"355,242",ELECTED,KADUNA-CENTRAL,KADUNA
6,IBRAHIM HAUWA FUNTUA,FEMALE,APGA,"7,423",,KADUNA-CENTRAL,KADUNA
7,ADEOYE MICHAEL OLATUNJI,MALE,CAP,114,,KADUNA-CENTRAL,KADUNA
8,BUKSU BUHARI,MALE,DA,54,,KADUNA-CENTRAL,KADUNA
9,HABU HUSSAINA,FEMALE,DPC,175,,KADUNA-CENTRAL,KADUNA
10,AKINSOYINU OLAKUNLE OLUWAFEMI,MALE,GPN,131,,KADUNA-CENTRAL,KADUNA
11,SABO UMAR SULEIMAN,MALE,ID,36,,KADUNA-CENTRAL,KADUNA
12,MUHAMMED HAMISU ABUBAKAR,MALE,JMPP,20,,KADUNA-CENTRAL,KADUNA
13,ABDULLAHI MOHAMMED,MALE,LP,160,,KADUNA-CENTRAL,KADUNA
14,MOHAMMED TAUHEED,MALE,MMN,136,,KADUNA-CENTRAL,KADUNA
15,BELLO MUSA,MALE,MPN,"2,177",,KADUNA-CENTRAL,KADUNA
16,USMAN HAFSAT M. B.,FEMALE,NEPP,150,,KADUNA-CENTRAL,KADUNA
17,MAILAFIYA SHEHU BAMALLI,MALE,NRM,"1,590",,KADUNA-CENTRAL,KADUNA
18,USMAN LAWAL ADAMU,MALE,PDP,"195,497",,KADUNA-CENTRAL,KADUNA
19,MUHAMMED INUWA HARUNA,MALE,PPA,414,,KADUNA-CENTRAL,KADUNA
20,AKINSOYINU OLAKUNLE OLUFEMI,MALE,PPN,881,,KADUNA-CENTRAL,KADUNA
21,SANI SHEHU,MALE,PRP,"70,613",,KADUNA-CENTRAL,KADUNA
22,FRANCIS KWADEMI HEZRON,MALE,PT,137,,KADUNA-CENTRAL,KADUNA
23,ALIYU MUHAMMAD LAWAL,MALE,SDP,758,,KADUNA-CENTRAL,KADUNA
24,YAKUBU SHEHU ZAKARI,MALE,ZLP,44,,KADUNA-CENTRAL,KADUNA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,KADUNA-NORTH-1,KADUNA
1,MUHAMMAD AISHATU USMAN T.,FEMALE,A,49,,KADUNA-NORTH-1,KADUNA
2,AYUBA IBRAHIM,MALE,AA,49,,KADUNA-NORTH-1,KADUNA
3,SULEIMAN ABDULLAHI,MALE,ADC,"3,890",,KADUNA-NORTH-1,KADUNA
4,KWARI SULEIMAN ABDU,MALE,APC,"411,497",ELECTED,KADUNA-NORTH-1,KADUNA
5,ADAMU ALIYU NUHU,MALE,CAP,918,,KADUNA-NORTH-1,KADUNA
6,AWAISU SHEHU KASSIM,MALE,DA,54,,KADUNA-NORTH-1,KADUNA
7,BALARABE SALEH,MALE,DPC,122,,KADUNA-NORTH-1,KADUNA
8,MUHAMMED TUKUR ZUBAIRU,MALE,GPN,26,,KADUNA-NORTH-1,KADUNA
9,SHEHU ISMAEEL,MALE,KP,458,,KADUNA-NORTH-1,KADUNA
10,SULEIMAN SHEHU S.,MALE,LP,34,,KADUNA-NORTH-1,KADUNA
11,ABDULLAHI NUHU,MALE,MMN,52,,KADUNA-NORTH-1,KADUNA
12,SALISU MUSA,MALE,NEPP,48,,KADUNA-NORTH-1,KADUNA
13,DANBAWA ISHAKU,MALE,NPC,134,,KADUNA-NORTH-1,KADUNA
14,SHUAIBU SIRAJO,MALE,PDC,"1,302",,KADUNA-NORTH-1,KADUNA
15,HUNKUYI OTHMAN SULEIMAN,MALE,PDP,"181,955",,KADUNA-NORTH-1,KADUNA
16,ADAMA ABUBAKAR HARUNA,MALE,PPA,233,,KADUNA-NORTH-1,KADUNA
17,ABDULLAHI HUSSAIN,MALE,PPN,54,,KADUNA-NORTH-1,KADUNA
18,ABUJAZID BASHIR,MALE,PRP,"1,556",,KADUNA-NORTH-1,KADUNA
19,ABDULLAHI SHUAIBU,MALE,SDP,"5,490",,KADUNA-NORTH-1,KADUNA
20,ABUBAKAR IBRAHIM,MALE,ZLP,30,,KADUNA-NORTH-1,KADUNA
S/N,NAME OF CANDIDATE,GENDER,PARTY,VOTES RECEIVED,REMARK,KADUNA-SOUTH-1,KADUNA
1,MOHAMMED SULMAILA SHEHU KACHIA,M,A,205,,KADUNA-SOUTH-1,KADUNA
2,BENEDICT BAKO KURAH,M,ADC,"2,741",,KADUNA-SOUTH-1,KADUNA
3,THADDEUS LIKITA ASHEI,M,ANN,239,,KADUNA-SOUTH-1,KADUNA
4,BALA BARNABAS YUSUF,M,APC,"133,287",,KADUNA-SOUTH-1,KADUNA
5,MUSA LAZARUS,M,CAP,277,,KADUNA-SOUTH-1,KADUNA
6,MARUF ABDULAHI,M,DA,64,,KADUNA-SOUTH-1,KADUNA
7,DAUDA PHILIBUS,M,GPN,176,,KADUNA-SOUTH-1,KADUNA
8,HASSAN MICHAEL PETER,M,LP,566,,KADUNA-SOUTH-1,KADUNA
9,LAAH DANJUMA TELLA,M,PDP,"268,923",ELECTED,KADUNA-SOUTH-1,KADUNA
10,PATRICK,M,PPN,252,,KADUNA-SOUTH-1,KADUNA
11,BULUS JAMES,M,PRP,"1,546",,KADUNA-SOUTH-1,KADUNA
12,SHEKARI RIJO SHEKARI,M,SDP,"9,609",,KADUNA-SOUTH-1,KADUNA
